id,y_2013,y_2014
370630001011,590,588
370630001012,652,649
370630001021,828,823
370630001022,563,573
370630002001,396,398
370630002002,641,445
370630002003,383,383
370630003011,493,489
370630003012,321,321
370630003013,329,316
370630003021,288,285
370630003022,325,328
370630003023,852,859
370630004011,294,292
370630004012,118,114
370630004013,193,194
370630004021,1422,911
370630005001,859,408
370630005002,367,365
370630005003,700,677
370630005004,412,406
370630006001,1245,959
370630006002,641,637
370630006003,25,25
370630007001,767,498
370630007002,374,283
370630007003,214,209
370630009001,333,315
370630009002,463,458
370630010011,387,382
370630010012,518,514
370630010013,465,464
370630010021,1052,1049
370630010022,195,194
370630010023,370,370
370630010024,493,493
370630011001,867,864
370630011002,570,577
370630013011,674,675
370630013031,514,518
370630013032,288,289
370630013041,1092,1092
370630014001,446,444
370630014002,750,745
370630015011,137,136
370630015021,1517,1391
370630015022,694,705
370630015023,1250,1125
370630015024,632,633
370630016011,0,0
370630016012,84,85
370630016013,194,44
370630016031,0,0
370630016032,179,133
370630016033,30,25
370630016034,0,0
370630016041,0,0
370630016042,0,0
370630016043,0,0
370630017051,252,247
370630017052,918,924
370630017053,559,557
370630017061,1026,926
370630017062,839,670
370630017071,0,0
370630017072,194,182
370630017073,0,0
370630017074,24,23
370630017075,231,92
370630017081,409,404
370630017091,359,339
370630017092,349,349
370630017093,2021,1537
370630017101,658,652
370630017102,496,494
370630017111,456,445
370630017112,768,768
370630017113,742,733
370630018011,136,138
370630018012,110,101
370630018013,295,288
370630018014,184,184
370630018015,0,0
370630018021,501,473
370630018022,639,637
370630018023,417,411
370630018024,294,303
370630018061,0,0
370630018062,47,46
370630018071,582,422
370630018072,252,243
370630018073,649,641
370630018081,1,1
370630018082,24,26
370630018091,849,859
370630018092,604,413
370630019001,0,0
370630019002,0,0
370630020071,10,10
370630020072,334,264
370630020073,0,0
370630020081,1,2
370630020082,103,106
370630020091,767,767
370630020092,357,359
370630020093,313,312
370630020131,19,22
370630020132,209,84
370630020133,0,0
370630020151,809,812
370630020152,1000,1001
370630020153,193,193
370630020161,1249,1153
370630020162,677,681
370630020171,16,10
370630020172,173,154
370630020173,416,340
370630020181,4,4
370630020182,171,175
370630020183,20,19
370630020191,282,282
370630020192,0,0
370630020193,0,0
370630020201,1,1
370630020202,0,0
370630020211,1333,1545
370630020212,437,368
370630020221,968,970
370630020222,518,497
370630020231,226,226
370630020232,749,609
370630020241,66,63
370630020242,477,477
370630020243,357,351
370630020251,593,579
370630020252,7,10
370630020253,69,67
370630020261,819,772
370630020262,1322,1320
370630020271,69,71
370630020272,672,591
370630020273,1054,693
370630020281,245,225
370630020282,346,346
370630020283,0,0
370630021001,0,0
370630021002,0,0
370630021003,0,0
370630022001,801,498
370630015031,0,0
370630023001,331,356
370630023002,221,79
370639801001,0,0
