id,y_2013,y_2014
370630001011,286,276
370630001012,78,20
370630001021,41,67
370630001022,254,191
370630002001,0,38
370630002002,343,146
370630002003,148,149
370630003011,0,334
370630003012,0,0
370630003013,0,0
370630003021,0,0
370630003022,0,0
370630003023,0,0
370630004011,134,250
370630004012,0,21
370630004013,80,80
370630004021,1116,604
370630005001,250,0
370630005002,0,214
370630005003,0,192
370630005004,19,143
370630006001,191,97
370630006002,313,291
370630006003,0,0
370630007001,0,59
370630007002,114,113
370630007003,0,0
370630009001,0,3
370630009002,0,0
370630010011,0,90
370630010012,78,78
370630010013,0,0
370630010021,81,119
370630010022,35,51
370630010023,111,8
370630010024,73,4
370630011001,118,339
370630011002,295,357
370630013011,251,252
370630013031,0,0
370630013032,10,10
370630013041,421,422
370630014001,0,196
370630014002,209,516
370630015011,0,0
370630015021,7,0
370630015022,0,0
370630015023,0,0
370630015024,0,0
370630016011,0,0
370630016012,24,25
370630016013,0,0
370630016031,0,0
370630016032,4,4
370630016033,0,0
370630016034,0,0
370630016041,0,0
370630016042,0,0
370630016043,0,0
370630017051,0,0
370630017052,0,0
370630017053,122,94
370630017061,0,0
370630017062,0,0
370630017071,0,0
370630017072,99,100
370630017073,0,0
370630017074,0,0
370630017075,0,0
370630017081,88,357
370630017091,0,0
370630017092,3,3
370630017093,104,103
370630017101,115,93
370630017102,0,0
370630017111,438,433
370630017112,71,71
370630017113,159,159
370630018011,2,2
370630018012,0,0
370630018013,0,0
370630018014,8,0
370630018015,0,0
370630018021,35,91
370630018022,0,0
370630018023,35,55
370630018024,0,0
370630018061,4,4
370630018062,0,10
370630018071,12,12
370630018072,31,22
370630018073,16,16
370630018081,43,44
370630018082,173,172
370630018091,44,44
370630018092,0,0
370630019001,0,0
370630019002,0,0
370630020071,0,0
370630020072,0,264
370630020073,0,0
370630020081,0,0
370630020082,2,4
370630020091,0,0
370630020092,68,69
370630020093,25,94
370630020131,0,0
370630020132,29,29
370630020133,0,0
370630020151,0,516
370630020152,169,166
370630020153,3,0
370630020161,501,501
370630020162,658,464
370630020171,0,0
370630020172,4,0
370630020173,0,0
370630020181,0,0
370630020182,9,10
370630020183,0,0
370630020191,2,2
370630020192,0,0
370630020193,0,0
370630020201,39,0
370630020202,0,0
370630020211,319,194
370630020212,0,0
370630020221,0,0
370630020222,0,0
370630020231,0,0
370630020232,328,328
370630020241,21,0
370630020242,0,0
370630020243,0,0
370630020251,0,0
370630020252,0,0
370630020253,0,0
370630020261,57,152
370630020262,0,0
370630020271,0,0
370630020272,2,2
370630020273,286,286
370630020281,127,142
370630020282,832,346
370630020283,0,0
370630021001,0,0
370630021002,0,0
370630021003,0,0
370630022001,202,186
370630015031,0,0
370630023001,183,205
370630023002,221,79
370639801001,0,0
