id,y_2013,y_2014
370630001011,31,33
370630001012,0,10
370630001021,7,12
370630001022,107,296
370630002001,18,17
370630002002,0,0
370630002003,0,0
370630003011,68,223
370630003012,35,87
370630003013,0,0
370630003021,188,205
370630003022,0,0
370630003023,0,0
370630004011,3,198
370630004012,0,11
370630004013,26,47
370630004021,626,325
370630005001,238,142
370630005002,0,0
370630005003,0,0
370630005004,0,0
370630006001,225,420
370630006002,0,2
370630006003,0,0
370630007001,662,395
370630007002,187,133
370630007003,0,0
370630009001,0,0
370630009002,34,0
370630010011,0,0
370630010012,0,0
370630010013,0,0
370630010021,0,0
370630010022,0,0
370630010023,0,0
370630010024,0,0
370630011001,31,11
370630011002,0,0
370630013011,78,12
370630013031,98,0
370630013032,22,0
370630013041,11,0
370630014001,0,0
370630014002,0,0
370630015011,0,136
370630015021,414,414
370630015022,692,692
370630015023,385,487
370630015024,0,617
370630016011,0,0
370630016012,0,0
370630016013,0,0
370630016031,0,0
370630016032,0,0
370630016033,0,0
370630016034,0,0
370630016041,0,0
370630016042,0,0
370630016043,0,0
370630017051,15,16
370630017052,507,483
370630017053,0,0
370630017061,0,0
370630017062,0,84
370630017071,0,0
370630017072,2,7
370630017073,0,0
370630017074,0,0
370630017075,140,9
370630017081,320,315
370630017091,0,0
370630017092,0,0
370630017093,811,453
370630017101,242,242
370630017102,19,19
370630017111,101,259
370630017112,0,0
370630017113,48,0
370630018011,0,0
370630018012,0,0
370630018013,0,0
370630018014,0,0
370630018015,0,0
370630018021,0,0
370630018022,0,0
370630018023,0,0
370630018024,0,0
370630018061,5,5
370630018062,0,0
370630018071,12,12
370630018072,38,28
370630018073,1,1
370630018081,22,21
370630018082,116,134
370630018091,0,49
370630018092,0,5
370630019001,8,7
370630019002,0,0
370630020071,0,0
370630020072,264,264
370630020073,0,0
370630020081,0,0
370630020082,16,18
370630020091,0,0
370630020092,0,0
370630020093,4,0
370630020131,0,0
370630020132,0,0
370630020133,0,0
370630020151,166,166
370630020152,974,626
370630020153,332,186
370630020161,0,0
370630020162,228,585
370630020171,0,0
370630020172,32,159
370630020173,0,123
370630020181,0,299
370630020182,0,262
370630020183,12,15
370630020191,0,0
370630020192,0,0
370630020193,0,0
370630020201,0,0
370630020202,0,0
370630020211,0,45
370630020212,0,0
370630020221,0,0
370630020222,374,354
370630020231,0,0
370630020232,471,159
370630020241,0,0
370630020242,0,0
370630020243,93,92
370630020251,0,0
370630020252,0,0
370630020253,0,19
370630020261,0,0
370630020262,0,0
370630020271,0,25
370630020272,348,11
370630020273,0,0
370630020281,129,129
370630020282,0,0
370630020283,257,257
370630021001,0,0
370630021002,0,0
370630021003,0,0
370630022001,572,109
370630015031,0,0
370630023001,182,230
370630023002,0,0
370639801001,0,0
